,Followers.at.Posting,type_Live Video Complete,Likes.at.Posting,time_difference,prep,WC,focuspast,number,OtherP,Sixltr,article,fnctn,page_category_NEWS_SITE,WPS,Period,Comma,motion,we,time,sec_15,sec_30,sec_60,sec_120,sec_half_day,sec_day,sec_7_days,target,popular
91924,141909,0,145740,56606113.0,9.76,41,0.0,4.88,17.07,26.83,7.32,34.15,0,41.0,4.88,0.0,0.0,0.0,4.88,1,1,1,1,1,1,1,3,0
100004,144883,0,143371,36132202.0,13.56,59,0.0,1.69,1.69,22.03,6.78,38.98,0,59.0,1.69,0.0,1.69,0.0,3.39,1,1,1,1,1,1,1,17,0
73320,249567,0,253435,92557514.0,4.0,25,0.0,0.0,16.0,24.0,0.0,12.0,0,8.33,24.0,0.0,0.0,4.0,4.0,1,1,1,1,1,1,1,6,0
9058,202101,0,206155,64145311.0,6.25,32,0.0,0.0,12.5,12.5,6.25,46.88,0,16.0,3.12,6.25,0.0,6.25,3.12,1,1,1,1,1,1,1,1,0
61143,225597,1,194350,10839305.0,14.29,21,4.76,0.0,0.0,42.86,0.0,28.57,0,7.0,4.76,9.52,4.76,0.0,14.29,1,1,1,1,1,1,1,40,1
31742,145166,0,143427,33712987.0,10.77,65,6.15,9.23,1.54,18.46,6.15,30.77,0,16.25,6.15,1.54,1.54,0.0,16.92,1,1,1,1,1,1,1,40,1
98107,993425,1,930333,33942598.0,10.67,75,0.0,4.0,12.0,26.67,2.67,22.67,0,18.75,6.67,4.0,1.33,1.33,5.33,1,1,1,1,1,1,1,113,1
66459,213049,0,216973,81894313.0,14.29,126,0.0,3.17,3.17,30.16,5.56,37.3,1,11.45,9.52,0.79,0.79,0.0,7.94,1,1,1,1,1,1,1,29,0
33254,527906,1,472908,35368502.0,12.35,81,4.94,4.94,0.0,34.57,7.41,32.1,0,11.57,12.35,2.47,2.47,0.0,7.41,1,1,1,1,1,1,1,205,1
130688,493679,0,464219,16271683.0,6.25,48,0.0,6.25,16.67,33.33,4.17,18.75,0,16.0,8.33,6.25,2.08,2.08,6.25,1,1,1,1,1,1,1,0,0
26789,207946,0,208185,58057007.0,7.69,65,0.0,9.23,1.54,24.62,3.08,30.77,0,9.29,13.85,1.54,3.08,0.0,3.08,1,1,1,1,1,1,1,5,0
43593,140535,0,122339,47805170.0,16.0,25,8.0,0.0,0.0,40.0,0.0,32.0,0,8.33,8.0,0.0,8.0,0.0,8.0,1,1,1,1,1,1,1,7,0
81061,91915,1,92642,72081722.0,5.0,20,0.0,5.0,0.0,35.0,5.0,35.0,0,10.0,5.0,5.0,0.0,0.0,10.0,1,1,1,1,1,1,1,24,0
41432,504913,0,497996,45036614.0,14.81,81,0.0,3.7,16.05,18.52,3.7,22.22,0,40.5,7.41,1.23,2.47,0.0,7.41,1,1,1,1,1,1,1,58,1
12440,95713,0,100300,68737994.0,10.0,20,0.0,5.0,0.0,15.0,20.0,45.0,0,5.0,15.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,3,0
34377,393786,0,367780,36740353.0,21.95,82,0.0,8.54,3.66,10.98,6.1,32.93,0,41.0,3.66,6.1,2.44,0.0,2.44,1,1,1,1,1,1,1,1,0
55513,619691,0,548735,2445794.0,9.76,82,0.0,4.88,25.61,15.85,3.66,28.05,0,20.5,7.32,0.0,1.22,2.44,2.44,1,1,1,1,1,1,1,13,0
98113,105453,0,106229,33945914.0,5.0,20,0.0,20.0,25.0,25.0,0.0,5.0,0,20.0,20.0,0.0,0.0,0.0,5.0,1,1,1,1,1,1,1,5,0
104949,360596,0,368490,41811914.0,9.8,51,0.0,3.92,5.88,15.69,5.88,25.49,0,17.0,7.84,0.0,0.0,0.0,3.92,1,1,1,1,1,1,1,3,0
